                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84451,                0.47784,                0.95935,                0.95291,                0.97321,                0.97857,                0.73968,                0.87427,                0.46422,                0.98703,             0.00070429,             0.00070429,             0.00070429
                     37,                0.85377,                0.47896,                 0.9645,                0.98245,                0.98809,                0.99307,                0.75921,                0.87405,                0.42688,                0.98544,             0.00070239,             0.00070239,             0.00070239
                     38,                0.84136,                0.48367,                 0.9668,                0.98568,                0.97624,                0.99302,                 0.7645,                0.86779,                0.41715,                0.98592,             0.00070048,             0.00070048,             0.00070048
                     39,                0.85446,                0.47911,                0.96426,                0.96512,                0.96293,                0.99178,                 0.7597,                0.86336,                0.42139,                0.97992,             0.00069858,             0.00069858,             0.00069858
                     40,                 0.8321,                0.47715,                0.96495,                0.96528,                0.96922,                 0.9913,                 0.7562,                0.87178,                0.44944,                0.98918,             0.00069668,             0.00069668,             0.00069668
                     41,                0.83958,                0.47464,                0.96116,                0.96965,                  0.987,                0.99214,                0.76061,                0.87549,                0.45024,                0.98402,             0.00069477,             0.00069477,             0.00069477
                     42,                0.80801,                0.46135,                0.95456,                0.97038,                0.98602,                0.99237,                0.74976,                0.90184,                0.42364,                 1.0076,             0.00069287,             0.00069287,             0.00069287
                     43,                0.81547,                0.46068,                0.96414,                0.97344,                0.97284,                0.99063,                0.75546,                0.88967,                0.43933,                0.99796,             0.00069097,             0.00069097,             0.00069097
                     44,                0.81691,                0.45526,                0.96224,                0.97835,                0.96983,                0.99135,                0.74629,                0.88865,                0.41781,                 1.0099,             0.00068906,             0.00068906,             0.00068906
                     45,                0.81511,                0.46393,                  0.952,                 0.9596,                0.97935,                0.99194,                0.74815,                0.89882,                0.43607,                 1.0027,             0.00068716,             0.00068716,             0.00068716
                     46,                0.82286,                0.46593,                0.95524,                0.97359,                0.98409,                0.99233,                  0.767,                0.89782,                0.41774,                0.98946,             0.00068526,             0.00068526,             0.00068526
                     47,                0.83118,                0.45836,                0.95535,                0.97701,                0.98287,                0.99255,                0.76532,                0.90458,                0.42047,                 1.0019,             0.00068335,             0.00068335,             0.00068335
                     48,                0.83183,                0.45759,                0.96949,                0.97698,                0.98013,                0.99237,                0.77519,                0.89474,                0.41473,                0.99613,             0.00068145,             0.00068145,             0.00068145
                     49,                0.81282,                0.44856,                0.96951,                0.97569,                0.98576,                0.99171,                0.77494,                 0.8676,                 0.4079,                0.98417,             0.00067955,             0.00067955,             0.00067955
                     50,                0.83469,                 0.4614,                0.96488,                0.97926,                0.97652,                0.99281,                0.76366,                0.89836,                0.41271,                0.98556,             0.00067764,             0.00067764,             0.00067764
                     51,                0.81916,                0.44786,                0.95825,                0.95958,                0.98255,                0.99263,                0.77605,                0.88551,                0.41847,                0.98517,             0.00067574,             0.00067574,             0.00067574
                     52,                0.83142,                0.45177,                0.97405,                0.98711,                0.97359,                0.99199,                0.77569,                0.87245,                0.39192,                0.97845,             0.00067384,             0.00067384,             0.00067384
                     53,                0.80607,                0.44254,                0.95247,                0.98604,                0.98043,                0.99346,                0.78342,                0.85148,                 0.4005,                0.97044,             0.00067193,             0.00067193,             0.00067193
                     54,                0.80018,                0.43995,                0.96434,                0.97795,                0.97964,                0.99197,                0.77034,                0.88172,                0.40435,                0.98304,             0.00067003,             0.00067003,             0.00067003
                     55,                0.81052,                0.44013,                0.94317,                0.98352,                0.98384,                0.99374,                0.77245,                0.88155,                0.41546,                0.97656,             0.00066813,             0.00066813,             0.00066813
                     56,                0.80594,                0.44057,                0.95074,                0.95752,                0.95661,                0.99124,                0.77633,                0.86773,                0.44199,                0.97798,             0.00066622,             0.00066622,             0.00066622
                     57,                0.79911,                 0.4392,                0.94889,                0.95939,                 0.9751,                0.99105,                0.77517,                0.86696,                0.42993,                0.98129,             0.00066432,             0.00066432,             0.00066432
                     58,                0.80428,                0.44708,                0.94363,                0.97437,                0.97303,                0.98963,                0.77274,                0.88062,                0.42083,                0.98353,             0.00066242,             0.00066242,             0.00066242
                     59,                0.80995,                0.44244,                0.94615,                0.97122,                 0.9762,                  0.988,                0.76955,                 0.8661,                0.41312,                0.98412,             0.00066051,             0.00066051,             0.00066051
                     60,                0.79232,                 0.4326,                0.95193,                0.97373,                0.96639,                0.98609,                0.76467,                0.87832,                0.41098,                0.98805,             0.00065861,             0.00065861,             0.00065861
                     61,                0.81287,                0.44046,                0.96311,                 0.9774,                0.97967,                0.99156,                0.77527,                0.87699,                0.39185,                0.98487,             0.00065671,             0.00065671,             0.00065671
                     62,                 0.7854,                0.42231,                0.94917,                0.97866,                0.97998,                0.99213,                0.77064,                0.87231,                0.39874,                0.99525,              0.0006548,              0.0006548,              0.0006548
                     63,                0.79543,                0.42245,                0.94137,                0.97046,                0.98218,                0.99228,                0.78676,                0.86363,                0.39162,                0.97992,              0.0006529,              0.0006529,              0.0006529
                     64,                0.78103,                0.43188,                0.95666,                0.97893,                0.98006,                0.99201,                0.78325,                0.86158,                0.38556,                0.97454,               0.000651,               0.000651,               0.000651
                     65,                0.78493,                0.41563,                0.93865,                0.97827,                0.97359,                0.99258,                0.77398,                0.88935,                0.40889,                0.99123,             0.00064909,             0.00064909,             0.00064909
                     66,                0.80833,                0.42463,                  0.943,                0.95925,                0.97375,                0.99256,                0.78312,                 0.8824,                0.46195,                0.99124,             0.00064719,             0.00064719,             0.00064719
                     67,                0.79385,                0.42952,                0.95089,                0.96388,                0.97285,                0.99141,                0.77295,                 0.9045,                0.44829,                0.98784,             0.00064529,             0.00064529,             0.00064529
                     68,                0.77821,                0.41845,                0.93644,                0.97595,                0.98566,                0.99315,                0.77567,                0.87003,                0.41755,                0.97938,             0.00064338,             0.00064338,             0.00064338
                     69,                0.78163,                0.42177,                0.93922,                0.96962,                0.99324,                0.99285,                0.77881,                0.88256,                0.39727,                0.98117,             0.00064148,             0.00064148,             0.00064148
                     70,                0.78625,                0.42329,                0.93895,                0.97343,                 0.9861,                0.99265,                0.78419,                0.86695,                0.39039,                0.97808,             0.00063958,             0.00063958,             0.00063958
                     71,                0.76659,                0.41375,                0.93293,                0.97456,                0.99166,                0.99387,                0.78409,                0.86378,                0.38796,                0.97535,             0.00063767,             0.00063767,             0.00063767
                     72,                0.76468,                   0.41,                0.93344,                0.97616,                0.99109,                0.99342,                0.78263,                0.85285,                 0.3858,                0.97349,             0.00063577,             0.00063577,             0.00063577
                     73,                 0.7631,                0.41068,                0.92989,                0.98146,                0.99031,                0.99326,                0.77846,                0.86606,                0.38026,                0.98161,             0.00063387,             0.00063387,             0.00063387
